0,2022-09-02 10:39:11,Ellen,40,6,41.95
1,2022-09-02 00:28:58,Gary,24,5,35.96
2,2022-09-02 06:52:12,Winford,94,5,27.97
3,2022-09-02 21:48:40,Gertrude,72,9,18.97
4,2022-09-02 03:06:46,Wanda,66,7,5.99
5,2022-09-02 18:39:26,James,83,8,23.97
6,2022-09-02 04:57:07,Dorothy,74,6,25.97
7,2022-09-02 19:46:07,Judith,57,3,33.96
8,2022-09-02 09:14:24,Steven,23,5,23.97
9,2022-09-02 01:11:42,Merlin,37,9,11.98
10,2022-09-02 05:43:01,Joseph,46,9,41.95
11,2022-09-02 23:25:06,David,97,5,20.97
12,2022-09-02 02:33:49,Jill,20,3,35.96
13,2022-09-02 20:30:22,Artie,86,7,29.97
14,2022-09-02 11:00:10,Gustavo,64,3,36.95
15,2022-09-02 14:35:17,Renee,89,2,23.97
16,2022-09-02 05:03:40,James,36,4,27.96
17,2022-09-02 16:25:50,Elsie,7,2,48.95
18,2022-09-02 10:40:01,Grace,98,8,31.96
19,2022-09-02 12:39:05,Gustavo,64,7,23.97
20,2022-09-02 17:02:52,Renee,85,7,45.94
21,2022-09-02 13:54:15,Gertrude,72,5,34.96
22,2022-09-02 05:36:19,Joshua,52,2,11.98
23,2022-09-02 09:01:08,Rose,61,7,7.99
24,2022-09-02 16:27:45,Thelma,26,9,15.98
25,2022-09-02 20:45:48,Perry,60,3,19.98
26,2022-09-02 05:53:17,Wendy,95,3,7.99
27,2022-09-02 08:50:35,Ivette,87,7,15.98
28,2022-09-02 19:09:43,Lenore,25,0,8.99
29,2022-09-02 07:05:16,Theresa,93,6,25.97
30,2022-09-02 10:59:14,Adam,75,3,28.96
31,2022-09-02 10:49:51,David,97,0,35.96
32,2022-09-02 15:26:38,James,83,7,27.96
33,2022-09-02 20:32:41,Florence,69,6,23.97
34,2022-09-02 02:06:20,Kathleen,8,0,11.98
35,2022-09-02 11:04:02,Stanley,82,9,7.99
36,2022-09-02 18:04:30,Adam,75,7,36.95
37,2022-09-02 06:52:34,Winford,94,4,23.96
38,2022-09-02 17:25:15,Justin,99,4,7.99
39,2022-09-02 19:53:46,Judith,57,6,13.98
40,2022-09-02 06:56:10,Theresa,12,7,15.98
41,2022-09-02 19:30:58,Renee,85,4,17.98
42,2022-09-02 17:05:38,James,13,1,12.98
43,2022-09-02 05:30:28,Merlin,37,5,35.95
44,2022-09-02 09:20:44,Glenn,70,7,5.99
