0,David,Rainey,8357231302,DavRa@KgW.zqF,FALSE,10.07,17.8,10/9/1992,2/20/2000,FALSE
1,Jolene,Gillispie,3038582775,JolenGilli@bXQ.xNZ,FALSE,16.83,32.9,2/17/2007,,TRUE
2,Nelson,Irby,5303308532,NIrby@hzI.ehy,TRUE,14.28,33.6,7/19/2017,,TRUE
3,Faustino,Fields,5349047454,FauField@TRR.GFd,TRUE,28.8,3.3,3/9/1993,,TRUE
4,Richard,Garcia,9858096601,RiGa@Qdr.GjN,TRUE,15.68,49.5,12/25/2013,,TRUE
5,Randy,Stecker,250918686,RanStec@Ooh.XqM,FALSE,22.88,41.7,2/15/2018,2/18/2018,FALSE
6,Nathanial,Lark,8706623202,NathanLark@SRd.LWh,FALSE,13.04,45,10/26/2001,,TRUE
7,Ruth,Rounds,7560395210,RRou@jUH.GqQ,TRUE,14.71,23.5,3/14/2018,,TRUE
8,Rusty,Ethington,7677475442,REthington@bil.evA,TRUE,11.64,37.9,12/28/1998,,TRUE
9,Alfred,Love,2763359059,AlfLove@ALG.lAu,TRUE,22.21,26,7/25/2004,8/23/2004,FALSE
