id,timestamp,customerFirstName,rewardsMemberId,employeeId,orderPriceTotal
0,2022-09-02 22:35:58.977974,Kecia,36,9,32.96
1,2022-09-02 13:50:45.849845,Dustin,64,6,6.99
2,2022-09-02 08:52:53.212981,Barton,6,6,33.96
3,2022-09-02 08:18:35.319762,Norman,88,7,40.95
4,2022-09-02 01:42:44.225801,Agnes,17,1,41.95
5,2022-09-02 00:34:37.423462,Susan,92,1,16.98
6,2022-09-02 21:12:17.542662,Chance,44,9,44.95
7,2022-09-02 10:13:53.953637,Linda,85,4,25.96
8,2022-09-02 08:00:02.221972,Yvette,16,7,29.96
9,2022-09-02 15:47:08.051220,Norma,60,4,6.99
10,2022-09-02 17:53:49.850291,Suzanne,35,7,7.99
11,2022-09-02 05:10:24.855996,Misty,77,4,33.96
12,2022-09-02 18:12:22.833417,Jennifer,61,1,16.98
13,2022-09-02 15:52:50.769423,Talisha,42,6,24.97
14,2022-09-02 11:29:04.814755,William,57,5,18.97
15,2022-09-02 08:30:42.313543,Barton,6,1,33.96
16,2022-09-02 23:42:55.035829,Joyce,83,0,22.97
17,2022-09-02 03:31:47.396379,Irina,98,9,9.99
18,2022-09-02 13:14:03.893637,Norma,60,5,41.94
19,2022-09-02 06:19:56.495933,Jennifer,61,5,19.98
20,2022-09-02 18:40:01.043811,Christopher,40,0,29.96
21,2022-09-02 03:13:46.136379,David,7,4,28.96
22,2022-09-02 10:05:15.886109,Chance,44,4,27.97
23,2022-09-02 19:37:33.855673,Joshua,49,0,31.96
24,2022-09-02 04:57:23.018726,Evan,33,4,11.98
25,2022-09-02 20:42:56.392582,Chance,44,4,39.95
26,2022-09-02 19:59:10.251683,Suzanne,35,4,25.96
27,2022-09-02 00:57:46.361971,Charles,39,3,5.99
28,2022-09-03 17:21:14.678311,Jannie,41,6,23.97
29,2022-09-03 07:30:07.299830,Donald,58,9,19.98
30,2022-09-03 20:09:30.811239,Nora,94,8,29.96
31,2022-09-03 01:29:11.148252,Yvette,16,2,38.95
32,2022-09-03 22:04:58.734654,Conrad,99,9,45.94
33,2022-09-03 03:23:28.187602,Wynell,90,5,39.95
34,2022-09-03 05:20:51.055941,Rochelle,3,9,25.97
35,2022-09-03 02:57:46.853457,Andrew,13,3,29.96
36,2022-09-03 09:23:17.987832,Jennifer,61,7,45.94
37,2022-09-03 15:23:25.102922,Wm,27,3,41.95
38,2022-09-03 06:19:57.494865,Jennifer,61,6,44.95
39,2022-09-03 09:32:21.307669,Anita,66,4,37.95
40,2022-09-03 07:57:19.471522,James,22,9,19.97
41,2022-09-03 19:58:27.297798,Joyce,83,4,19.97
42,2022-09-03 00:59:55.270201,Luz,93,7,7.99
43,2022-09-03 18:00:15.217369,Naomi,87,7,41.94
44,2022-09-03 17:55:24.473146,Sunny,70,2,6.99
45,2022-09-03 14:53:00.523555,Joan,21,5,44.95
46,2022-09-03 09:16:53.251126,Chance,44,0,35.96
47,2022-09-03 23:54:04.216144,Christina,51,7,33.95
48,2022-09-03 03:27:17.836736,Kecia,36,9,26.97
49,2022-09-03 07:03:12.721039,Chance,44,0,31.96
50,2022-09-03 20:45:17.594952,Michael,72,0,7.99
51,2022-09-03 01:05:28.525107,Charles,30,4,45.95
52,2022-09-03 14:16:14.646369,Sheldon,11,2,31.96
53,2022-09-03 19:42:54.425069,Mark,89,5,32.96
54,2022-09-03 22:48:38.162898,Naomi,87,2,25.97
55,2022-09-03 09:28:12.082461,Default,0,3,26.97
56,2022-09-03 23:20:27.309513,Elizabeth,46,7,24.97
57,2022-09-03 16:02:16.151311,Dustin,64,7,28.96
58,2022-09-03 14:19:10.400726,Megan,74,5,55.94
59,2022-09-03 17:19:39.323835,Elizabeth,37,7,29.96
60,2022-09-03 20:35:13.604705,Jannie,41,1,6.99
61,2022-09-04 02:12:53.328565,Conrad,99,1,9.99
62,2022-09-04 20:23:01.651932,Irene,2,9,21.97
63,2022-09-04 11:22:24.725655,Agnes,17,8,22.97
64,2022-09-04 17:06:27.541744,Craig,31,6,23.97
65,2022-09-04 17:35:20.368762,Naomi,87,9,51.94
66,2022-09-04 22:33:02.368492,Judith,53,1,24.97
67,2022-09-04 03:09:14.822303,Naomi,87,4,29.96
68,2022-09-04 18:17:39.396663,Charles,30,5,8.99
69,2022-09-04 21:08:59.494025,Joyce,28,3,26.97
70,2022-09-04 14:32:14.226573,Alfred,68,7,6.99
71,2022-09-04 04:48:08.401774,Sunny,70,0,43.95
72,2022-09-04 17:12:58.977891,Allen,14,1,15.98
73,2022-09-04 10:02:15.927609,Sunny,70,2,13.98
74,2022-09-04 23:46:30.393682,Irina,98,9,43.95
75,2022-09-04 05:52:18.525131,Allen,14,2,21.97
76,2022-09-04 01:55:01.230727,Thomas,18,2,17.98
77,2022-09-04 20:01:14.900104,Ricky,95,0,27.96
78,2022-09-04 03:39:47.969540,Default,0,9,7.99
79,2022-09-04 04:15:00.019308,Carol,55,8,30.96
80,2022-09-04 17:52:21.290855,Shelli,81,3,29.96
81,2022-09-04 01:39:22.120147,Brenda,25,5,17.98
82,2022-09-04 23:37:30.884640,Tracey,10,9,35.96
83,2022-09-04 13:36:40.155259,William,57,6,8.99
84,2022-09-04 10:47:38.315655,Joshua,62,0,37.95
85,2022-09-04 17:41:04.316102,Anne,1,6,24.97
86,2022-09-04 17:39:34.586429,David,38,3,23.97
87,2022-09-04 14:43:15.472854,Sheldon,11,1,7.99
88,2022-09-04 17:50:33.672266,Christina,51,5,31.96
89,2022-09-04 06:21:46.130588,Shelli,81,7,15.98
90,2022-09-04 23:13:21.782235,Lee,4,0,27.96
91,2022-09-04 13:00:51.312347,Pearlie,84,3,29.96
92,2022-09-04 07:46:23.401912,Tracey,10,2,6.99
