0,2022-09-02 16:50:58,Alethea,96,6,21.97
1,2022-09-02 11:16:39,Erma,34,7,19.98
2,2022-09-02 09:49:37,May,86,5,31.95
3,2022-09-02 01:09:24,Kenneth,0,3,6.99
4,2022-09-02 03:15:54,Philip,25,8,26.97
5,2022-09-02 11:07:18,Barbara,97,2,5.99
6,2022-09-02 09:30:27,Harold,21,4,9.99
7,2022-09-02 00:12:05,Tyrone,18,1,23.97
8,2022-09-02 00:53:52,Charles,46,9,18.97
9,2022-09-02 21:04:06,Jerry,85,5,6.99
10,2022-09-02 18:58:39,Jamie,51,7,15.98
11,2022-09-02 06:02:02,Jacquelyn,95,3,7.99
12,2022-09-02 18:07:02,Homer,8,3,11.98
13,2022-09-02 09:30:35,Steven,13,3,33.96
14,2022-09-02 20:40:15,Jean,37,1,33.96
15,2022-09-02 03:41:12,Robin,33,6,15.98
16,2022-09-02 10:08:09,Robin,33,8,18.97
17,2022-09-02 05:34:26,Rafael,91,8,5.99
18,2022-09-02 08:49:04,Alan,90,4,29.96
19,2022-09-02 20:53:42,Lacey,60,3,25.96
20,2022-09-02 20:01:24,Erma,34,0,19.98
21,2022-09-02 06:58:53,Nina,20,0,24.97
22,2022-09-02 06:21:31,Lana,9,8,8.99
23,2022-09-02 11:13:28,Florence,23,7,17.97
24,2022-09-02 13:32:19,Sherry,65,1,36.95
25,2022-09-02 05:46:48,Erma,34,1,19.98
26,2022-09-02 23:42:24,Homer,8,2,31.96
27,2022-09-02 21:58:10,Michael,76,0,19.98
28,2022-09-02 04:56:01,Joseph,2,7,43.94
29,2022-09-02 20:33:03,Joseph,2,2,25.97
30,2022-09-02 12:26:06,Janie,39,3,17.98
31,2022-09-02 07:13:04,Richard,61,1,36.96
32,2022-09-02 12:32:47,Yolanda,24,8,19.97
33,2022-09-02 18:31:03,Tyrone,18,8,9.99
34,2022-09-02 13:59:09,Gary,52,1,22.97
35,2022-09-02 12:18:20,Sherry,65,5,32.96
36,2022-09-02 11:41:45,Karen,14,5,24.97
37,2022-09-02 11:00:46,Robert,59,8,19.98
38,2022-09-02 11:08:11,Tyrone,18,0,11.98
39,2022-09-02 05:11:34,Erma,34,1,11.98
40,2022-09-02 09:30:11,Erma,34,9,33.95
41,2022-09-02 19:03:35,Steven,64,5,30.96
42,2022-09-02 23:25:07,Janet,98,6,51.94
43,2022-09-02 00:12:14,Sherry,65,7,17.98
44,2022-09-02 03:33:17,Olga,17,1,33.96
45,2022-09-02 16:17:35,Angel,94,3,25.97
46,2022-09-02 21:08:20,Florence,23,1,19.98
47,2022-09-02 12:09:33,Charles,32,6,15.98
48,2022-09-02 22:43:06,Frederick,58,7,17.98
49,2022-09-02 07:42:39,Deborah,40,7,24.97
